,lai_q05,lai_q50,lai_q95,ccc_q05,ccc_q50,ccc_q95,sensing_date,agdd,farm,parcel,variety,cab_q50
41,1.9351262092590331,2.5019242763519287,2.875908136367798,0.8004477739334107,1.0865354537963867,1.297047424316406,2022-04-21,844,SwissFutureFarm,Altkloster,Montalbano,43.427991169287935
42,1.2926990270614624,2.435871124267578,3.289494013786315,0.5982218563556672,1.134449303150177,1.5468570590019224,2022-05-01,940,SwissFutureFarm,Altkloster,Montalbano,46.572632346930305
43,2.5761006116867065,3.6008565425872803,4.06892762184143,1.1289074838161468,1.8760448098182678,2.2715555667877196,2022-05-11,1072,SwissFutureFarm,Altkloster,Montalbano,52.099959763192786
44,2.605923128128052,3.7716680765151978,4.27324857711792,1.1860887110233307,2.01734459400177,2.415108573436737,2022-05-14,1127,SwissFutureFarm,Altkloster,Montalbano,53.48680088163217
45,2.869364047050476,3.889762759208679,4.379869985580444,1.3397245585918427,2.0552303791046143,2.449065065383911,2022-05-16,1163,SwissFutureFarm,Altkloster,Montalbano,52.83690822117706
46,2.878956067562103,3.9695682525634766,4.460842514038086,1.3286637544631958,2.1772313117980957,2.547475016117096,2022-05-19,1220,SwissFutureFarm,Altkloster,Montalbano,54.848063398130975
47,2.997556674480438,4.1036376953125,4.547953391075135,1.3887814283370972,2.2288652658462524,2.5285807967185976,2022-05-26,1341,SwissFutureFarm,Altkloster,Montalbano,54.31437742157985
48,3.388685941696167,4.944805383682251,5.541131067276001,1.4964100003242493,2.442479372024536,2.8841004371643066,2022-06-10,1572,SwissFutureFarm,Altkloster,Montalbano,49.39485343719824
49,3.012900340557098,4.0966925621032715,4.7161747217178345,1.348971164226532,1.9621853828430176,2.3483266592025758,2022-06-13,1628,SwissFutureFarm,Altkloster,Montalbano,47.89681805743356
50,3.5094213485717773,4.598805904388428,5.303404307365417,1.5291425943374635,2.1666207313537598,2.6443210601806637,2022-06-15,1667,SwissFutureFarm,Altkloster,Montalbano,47.11268047399552
51,2.542562794685364,3.4655115604400635,4.0279951095581055,1.1071293473243715,1.6027534008026123,1.9578665792942047,2022-06-18,1734,SwissFutureFarm,Altkloster,Montalbano,46.2486814096528
